NAT,01-01-2000,01-01-2100
PMA,01-01-2000,01-01-2100
CGR,01-01-2000,01-01-2100
SLZ,01-01-2000,01-01-2100
CBA,01-01-2000,01-01-2100
CHP,01-01-2000,01-01-2100
JOI,01-01-2000,01-01-2100
CHP,01-01-2000,01-01-2100
SBR,01-01-2000,01-01-2100
OUR,01-01-2000,01-10-2015
